"2023-04-06T06:38:18.655Z","SYS","Session logging started.",""
"2023-04-06T06:38:18.655Z","EVSE","Session Started: EVConnected",""
"2023-04-06T06:38:19.657Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-06T06:38:19.751Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-06T06:38:19.901Z","EVSE","EIM Authorization received",""
"2023-04-06T06:38:19.902Z","EVSE","Transaction Started (527.215 kWh)",""
"2023-04-06T06:38:19.904Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-06T06:38:19.955Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-06T06:38:20.090Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-06T06:38:20.750Z","EVSE","SLAC MATCHING",""
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:44.346Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:44.489Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:44.834Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:44.986Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:45.383Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:45.536Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:45.883Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:46.057Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:46.402Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:46.567Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:47.025Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:47.148Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:47.717Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:47.861Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:48.293Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:48.387Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:48.815Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:48.968Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:49.302Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:49.471Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:49.867Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:49.991Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:50.397Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:50.530Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:50.938Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 93,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "F0E5CB4E8E5FA0B5"
        }
    }
}"
"2023-04-06T06:38:51.084Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
